VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,02/09/2022 02:45:51 AM,02/09/2022 02:51:36 AM,N,5,212,182,1,1.55,12,0,0,0,0,,0.3,12.3,2,2,0
2,02/09/2022 02:52:54 AM,02/09/2022 03:02:45 AM,N,5,83,70,2,2.52,15,0,0,0,0,,0.3,15.3,2,2,0
2,02/09/2022 03:06:00 AM,02/09/2022 03:16:00 AM,,,95,135,,2.61,12.23,0,0,0,0,,0.3,12.53,,,
2,02/09/2022 03:20:06 AM,02/09/2022 03:25:52 AM,N,5,42,74,1,1.78,8,0,0,0,0,,0.3,8.3,2,2,0
1,02/09/2022 03:25:15 AM,02/09/2022 03:28:31 AM,Y,1,41,166,1,0.7,4.5,0.5,0.5,1.15,0,,0.3,6.95,1,1,0
1,02/09/2022 03:29:41 AM,02/09/2022 03:32:54 AM,N,1,56,56,1,0,4,0.5,0.5,0,0,,0.3,5.3,2,1,0
2,02/09/2022 03:33:00 AM,02/09/2022 03:37:00 AM,,,168,168,,0.92,7.7,0,0,0,0,,0.3,8,,,
2,02/09/2022 03:34:12 AM,02/09/2022 03:51:47 AM,N,5,92,57,2,2.89,15,0,0,0,0,,0.3,15.3,2,2,0
2,02/09/2022 03:43:00 AM,02/09/2022 03:53:00 AM,,,42,244,,2.35,10.76,0,0,3,0,,0.3,14.06,,,
2,02/09/2022 03:51:57 AM,02/09/2022 04:33:57 AM,N,1,129,173,2,10.34,35.5,0.5,0.5,0,0,,0.3,36.8,2,1,0
2,02/09/2022 04:09:47 AM,02/09/2022 04:31:09 AM,N,5,82,88,1,10.2,50,0,0,0,0,,0.3,53.05,1,2,2.75
2,02/09/2022 04:16:12 AM,02/09/2022 04:27:29 AM,N,1,226,129,1,2.28,10.5,0.5,0.5,0,0,,0.3,11.8,2,1,0
